Station Number,X Coordinate,Y Coordinate
31124,-77.032224,38.928552
31291,-77.03445106744766,38.901136451737045
31319,-77.080217,38.949813
31520,-76.971923,38.91263
31713,-76.925907,38.897407
31812,-76.982359,38.870695
32200,-77.240654,38.929261
32201,-77.235955,38.92403
32203,-77.221179,38.919475
32204,-77.222115,38.920939
32205,-77.217664,38.924437
32206,-77.219261,38.931911
32207,-77.225394,38.928919
32208,-77.231825,38.932636
32209,-77.338686,38.970046
32210,-77.361902,38.962524
32211,-77.358815,38.962095
32212,-77.356324,38.960574
32213,-77.351649,38.955079
32214,-77.359718,38.957037
31643,-77.005965,38.884916
32215,-77.3368,38.9492
32216,-77.358741,38.959633
32217,-77.357611,38.95534
31292,-77.048947,38.892441
31714,-76.913563,38.891805
32218,-77.353414,38.960084
32219,-77.368416,38.955314
32220,-77.340377,38.951443
31917,-77.070862,38.89386
31414,-77.027976,38.967505
32221,-77.227417,38.923083
31918,-77.040691,38.812351
32058,-77.016311,38.990874
31125,-77.034502,38.919086
31644,-76.990121,38.882489
31412,-77.002239,38.957463
31919,-77.112982,38.876695
32222,-77.220157,38.915246
31645,-76.99840486049652,38.9028773031307
32057,-77.107143,39.014716
32059,-76.988311,38.98265
32061,-76.988422,38.988101
32062,-77.051023,39.038341
32063,-77.047788,39.044887
32064,-77.048395,39.035965
32065,-77.053085,39.043272
32066,-77.04735,39.032029
32223,-77.340787,38.970412
32224,-77.3630940914154,38.955170598044894
31413,-77.016258,38.968834
31521,-76.979517,38.93293
31294,-77.021741,38.88345
32067,-77.164969,39.121327
31295,-77.065149,38.905368
31296,-77.040787,38.924088
31920,-77.111066,38.888282
31921,-77.142317,38.886048
31923,-77.103728,38.858524
32068,-77.1673,39.126
32069,-77.16486,39.12333
32225,-77.35428035259247,38.964207741006206
32070,-77.20386,39.105642
31297,-77.054155,38.8995
31298,-77.034674,38.905424
31126,-77.027112,38.925636
31299,-77.04564,38.912644
31924,-77.082089,38.892556
31320,-77.087128,38.936298
31321,-77.033234,38.892244
31127,-77.048946,38.899104
31128,-77.050264,38.905303
32071,-77.192645,39.106971
32072,-77.202354,39.106152
31813,-76.98185,38.84627
31814,-76.97557,38.84377
31815,-76.97703,38.84623
31816,-77.0009,38.836
31817,-77.005497,38.824481
31818,-77.00223,38.82373
31819,-77.01033,38.81909
31715,-76.949709,38.883011
31129,-77.03338,38.89635
31646,-77.025236,38.88044
31523,-77.0078,38.915
32073,-77.05006,39.04313
31415,-77.02791,38.95674
31647,-76.99602,38.89222
31820,-76.9834,38.87335
32074,-77.120776,39.062041
32075,-77.11287,39.04753
32076,-77.10933,39.049
32077,-77.11368,39.049765
32078,-77.1135,39.04317
32079,-77.1257,39.04873
32080,-77.113454,39.0629
32081,-77.129235,39.06219
32082,-77.00077,39.00048
32227,-77.23034,38.92245
32400,-76.843263,38.908391
32401,-76.844604,38.899811
32402,-76.937349,38.969581
32403,-76.940133,38.95548
32404,-76.960054,38.936213
32083,-77.1176,39.0510352
31648,-77.01083689928055,38.870201045557025
31925,-77.05122,38.848304
32405,-76.825535,38.88994
31822,-76.984512,38.855004
31649,-77.032956,38.931991
31322,-77.09629,38.917304
31416,-77.033509,38.969489
31650,-77.006072,38.876893
32406,-77.016059,38.782633
32407,-77.00103,38.798749
31651,-77.028305,38.93165
31652,-77.000736,38.876751
31417,-77.021467,38.948057
32228,-77.335425,38.944707
32229,-77.226644,38.92755
31653,-77.021392,38.902674
31654,-77.012443,38.876211
31524,-76.986813,38.907444
31655,-77.011616,38.897108
31656,-76.978627,38.901935
31657,-76.998273,38.892934
31323,-77.051833,38.923389
32230,-77.20790550112724,38.923780884125435
31525,-76.983221,38.906299
31658,-76.979634,38.897808
31659,-76.991476,38.885908
31418,-77.012808,38.951596
31823,-76.983144,38.835737
31324,-77.041829,38.911268
